model,env,category,count,share
anthropic/claude-haiku-4.5,lodopab-ct-simplified,ok,5,1.0
anthropic/claude-haiku-4.5,sparse-fourier-recovery,ok,5,1.0
anthropic/claude-haiku-4.5,super-resolution-div2k-x4,ok,5,1.0
anthropic/claude-opus-4.7,lodopab-ct-simplified,ok,5,1.0
anthropic/claude-opus-4.7,sparse-fourier-recovery,ok,5,1.0
anthropic/claude-opus-4.7,super-resolution-div2k-x4,ok,5,1.0
anthropic/claude-sonnet-4.6,lodopab-ct-simplified,ok,5,1.0
anthropic/claude-sonnet-4.6,sparse-fourier-recovery,ok,5,1.0
anthropic/claude-sonnet-4.6,super-resolution-div2k-x4,ok,5,1.0
deepseek/deepseek-chat-v3:free,lodopab-ct-simplified,api_failure,1,1.0
deepseek/deepseek-chat-v3:free,sparse-fourier-recovery,api_failure,1,1.0
deepseek/deepseek-chat-v3:free,super-resolution-div2k-x4,api_failure,1,1.0
google/gemini-3.1-pro,lodopab-ct-simplified,api_failure,3,1.0
google/gemini-3.1-pro,sparse-fourier-recovery,api_failure,3,1.0
google/gemini-3.1-pro,super-resolution-div2k-x4,api_failure,3,1.0
meta-llama/llama-3.3-70b-instruct:free,lodopab-ct-simplified,api_failure,1,1.0
meta-llama/llama-3.3-70b-instruct:free,sparse-fourier-recovery,api_failure,1,1.0
meta-llama/llama-3.3-70b-instruct:free,super-resolution-div2k-x4,api_failure,1,1.0
openai/gpt-5.4,lodopab-ct-simplified,ok,5,1.0
openai/gpt-5.4,sparse-fourier-recovery,ok,5,1.0
openai/gpt-5.4,super-resolution-div2k-x4,ok,5,1.0
openai/gpt-5.4-mini,lodopab-ct-simplified,ok,4,0.8
openai/gpt-5.4-mini,lodopab-ct-simplified,parse_failure,1,0.2
openai/gpt-5.4-mini,sparse-fourier-recovery,ok,5,1.0
openai/gpt-5.4-mini,super-resolution-div2k-x4,ok,4,0.8
openai/gpt-5.4-mini,super-resolution-div2k-x4,parse_failure,1,0.2
openai/gpt-5.4-nano,lodopab-ct-simplified,ok,2,0.3333
openai/gpt-5.4-nano,lodopab-ct-simplified,parse_failure,4,0.6667
openai/gpt-5.4-nano,sparse-fourier-recovery,ok,6,1.0
openai/gpt-5.4-nano,super-resolution-div2k-x4,ok,4,0.6667
openai/gpt-5.4-nano,super-resolution-div2k-x4,parse_failure,2,0.3333
