timestamp,env,env_version,model,instance_id,reward,components,tool_calls,tool_sequence,parse_ok,usd_cost,prompt_tokens,completion_tokens,episode_latency_s,n_llm_calls,error
2026-04-24T13:50:18.639465+00:00,sparse-fourier-recovery-tools,0.3.0,anthropic/claude-haiku-4.5,0,0.4861,"nmse=0.315, support=0.500, conformal=0.700",5,"ifft_tool,compute_residual_tool,ifft_tool,threshold_tool,sparsity_norm_tool",True,0.068977,45662,4663,37.78,7,
2026-04-24T13:50:18.751091+00:00,sparse-fourier-recovery-tools,0.3.0,anthropic/claude-haiku-4.5,1,0.3767,"nmse=0.117, support=0.300, conformal=0.800",5,"ifft_tool,sparsity_norm_tool,compute_residual_tool,compute_residual_tool,ifft_tool",True,0.053882,33767,4023,37.842,6,
2026-04-24T13:50:18.751302+00:00,sparse-fourier-recovery-tools,0.3.0,anthropic/claude-haiku-4.5,2,,,5,"ifft_tool,compute_residual_tool,ifft_tool,threshold_tool,compute_residual_tool",False,0.068573,46093,4496,38.964,7,"parse:expected 10 entries in 'support_idx', got 44"
2026-04-24T13:50:18.751393+00:00,sparse-fourier-recovery-tools,0.3.0,openai/gpt-5.4-nano,0,,,5,"ifft_tool,compute_residual_tool,ifft_tool,compute_residual_tool,threshold_tool",False,0.006021380000000001,30344,2690,31.729,7,"parse:expected 10 entries in 'support_idx', got 50"
2026-04-24T13:50:18.751475+00:00,sparse-fourier-recovery-tools,0.3.0,openai/gpt-5.4-nano,1,,,4,"ifft_tool,compute_residual_tool,ifft_tool,threshold_tool",False,0.00367226,18908,1682,14.403,5,"parse:expected 10 entries in 'support_idx', got 1"
2026-04-24T13:50:18.751483+00:00,sparse-fourier-recovery-tools,0.3.0,openai/gpt-5.4-nano,2,0.395,"nmse=0.163, support=0.100, conformal=1.000",5,"ifft_tool,compute_residual_tool,fft_tool,ifft_tool,threshold_tool",True,0.006365,31275,2963,27.79,7,
2026-04-24T13:50:18.751486+00:00,sparse-fourier-recovery-tools,0.3.0,openai/gpt-5.4-mini,0,0.4284,"nmse=0.246, support=0.500, conformal=0.600",5,"ifft_tool,compute_residual_tool,sparsity_norm_tool,threshold_tool,threshold_tool",True,0.017455,25462,2400,22.268,6,
2026-04-24T13:50:18.751492+00:00,sparse-fourier-recovery-tools,0.3.0,openai/gpt-5.4-mini,1,0.397,"nmse=0.168, support=0.300, conformal=0.800",5,"ifft_tool,compute_residual_tool,sparsity_norm_tool,threshold_tool,sparsity_norm_tool",True,0.01648,23840,2300,19.537,6,
2026-04-24T13:50:18.751496+00:00,sparse-fourier-recovery-tools,0.3.0,openai/gpt-5.4-mini,2,0.3781,"nmse=0.120, support=0.200, conformal=0.900",5,"ifft_tool,compute_residual_tool,sparsity_norm_tool,compute_residual_tool,fft_tool",True,0.01644,16477,2136,15.305,5,
2026-04-24T13:50:18.751498+00:00,sparse-fourier-recovery-tools,0.3.0,anthropic/claude-sonnet-4.6,0,0.5216,"nmse=0.404, support=0.600, conformal=0.600",5,"ifft_tool,sparsity_norm_tool,compute_residual_tool,ifft_tool,threshold_tool",True,0.201939,43818,4699,64.272,7,
2026-04-24T13:50:18.751500+00:00,sparse-fourier-recovery-tools,0.3.0,anthropic/claude-sonnet-4.6,1,0.477,"nmse=0.368, support=0.500, conformal=0.600",5,"ifft_tool,sparsity_norm_tool,compute_residual_tool,ifft_tool,threshold_tool",True,0.202179,43758,4727,68.283,7,
2026-04-24T13:50:18.751502+00:00,sparse-fourier-recovery-tools,0.3.0,anthropic/claude-sonnet-4.6,2,0.448,"nmse=0.295, support=0.600, conformal=0.500",5,"ifft_tool,sparsity_norm_tool,compute_residual_tool,ifft_tool,threshold_tool",True,0.199803,43606,4599,67.891,7,
2026-04-24T13:50:18.751504+00:00,sparse-fourier-recovery-tools,0.3.0,openai/gpt-5.4,0,0.456,"nmse=0.315, support=0.400, conformal=0.700",5,"ifft_tool,compute_residual_tool,sparsity_norm_tool,ifft_tool,threshold_tool",True,0.059842,24387,1941,45.047,6,
2026-04-24T13:50:18.751506+00:00,sparse-fourier-recovery-tools,0.3.0,openai/gpt-5.4,1,0.4642,"nmse=0.336, support=0.500, conformal=0.600",5,"ifft_tool,compute_residual_tool,sparsity_norm_tool,ifft_tool,threshold_tool",True,0.056418,24239,1891,42.089,6,
2026-04-24T13:50:18.751507+00:00,sparse-fourier-recovery-tools,0.3.0,openai/gpt-5.4,2,0.4573,"nmse=0.318, support=0.600, conformal=0.500",5,"ifft_tool,compute_residual_tool,sparsity_norm_tool,ifft_tool,threshold_tool",True,0.058608,24229,1885,40.792,6,
2026-04-24T13:50:18.751509+00:00,sparse-fourier-recovery-tools,0.3.0,anthropic/claude-opus-4.7,0,0.5453,"nmse=0.538, support=0.500, conformal=0.600",5,"ifft_tool,threshold_tool,compute_residual_tool,ifft_tool,threshold_tool",True,0.374275,50060,4959,45.438,7,
